FID IID PC1 PC2
AtRegMap 66 -116.86879378887728 -43.60838754128271
AtRegMap 149 -86.50857542912186 -42.71207296350797
AtRegMap 328 -46.726311442582954 -44.415224907368
AtRegMap 334 -55.76358399465636 -57.84954664521319
AtRegMap 2274 -107.17332986314857 13.270139325216354
AtRegMap 5753 -100.4079011972585 -37.736578145724124
AtRegMap 6709 -102.08757769713476 -57.16243573052926
AtRegMap 7000 13.861034600735358 64.7450470457467
AtRegMap 6989 -112.82867548823583 -55.81610887137028
AtRegMap 7031 26.263563779490752 30.750217861857596
AtRegMap 7062 -8.682913367684218 66.32951917093507
AtRegMap 7460 140.81344225016667 -67.44166902984014
AtRegMap 7123 33.42047960499321 56.88563889159157
AtRegMap 7128 34.38688215463285 -31.06281140805562
AtRegMap 7145 2.2460667906479665 -38.95506450334552
AtRegMap 7147 27.719835899004476 64.27985375411768
AtRegMap 7166 -28.84102233680331 63.42221495472458
AtRegMap 7255 29.53246942262722 68.8846500671079
AtRegMap 7275 107.0423924194382 -31.048312391897216
AtRegMap 7258 30.84925531740518 81.2267720487159
AtRegMap 7291 8.189977359660631 -11.119955044890268
AtRegMap 7310 51.743377673355624 30.85938980074929
AtRegMap 7330 84.90085297897058 -24.374088524404097
AtRegMap 7333 72.54856459635762 -11.507546156255064
AtRegMap 7411 40.795743014361605 -15.067316576872926
AtRegMap 178 -55.4837602639139 -32.95814346207571
AtRegMap 378 -58.30531937047211 -54.90271424047496
AtRegMap 8241 65.58863022091325 8.355170628118149
AtRegMap 6988 -27.99963734404578 -3.110304184599203
AtRegMap 8256 27.399297609958943 44.375659782172576
AtRegMap 8264 -29.294454820275472 -27.75924179214123
AtRegMap 8265 4.533304228325389 88.91710596928964
AtRegMap 8271 25.46948597326778 51.12667880814163
AtRegMap 6190 57.13680402037867 20.49827685204587
AtRegMap 8275 -68.41293430400029 -35.64863592829188
AtRegMap 8420 26.979530165175376 22.557852828921458
AtRegMap 6008 143.93905757334934 -66.4489918866313
AtRegMap 8296 29.96612017091685 58.93351046415446
AtRegMap 8300 124.33164568688579 -53.037385366256835
AtRegMap 8235 127.53633574507367 -37.864492442787885
AtRegMap 8306 47.489029371422824 40.70044264003988
AtRegMap 8310 -1.319668086452793 103.89990408731258
AtRegMap 8236 117.7426573198548 -59.087980866859446
AtRegMap 8311 56.062880282461336 -39.18333625479507
AtRegMap 8314 64.92045309579714 -32.78029944634852
AtRegMap 8239 -8.663401683086999 56.5116236777343
AtRegMap 8240 40.262796587977725 9.2430261141625
AtRegMap 8323 -3.157095984826174 27.92374073372804
AtRegMap 8325 123.74645467336028 -35.07638105649808
AtRegMap 8326 65.37650306760172 17.461914078686902
AtRegMap 8222 49.901464190287726 -14.308865470526607
AtRegMap 8430 -17.656851307873364 61.78199659698956
AtRegMap 6042 73.8108723248517 -6.559167313137562
AtRegMap 8343 15.264799059368384 13.23585867232087
AtRegMap 6074 25.586213597969557 23.518212990470047
AtRegMap 8351 30.439239877928664 24.665368288312727
AtRegMap 8354 106.8841931766013 -8.040216076341506
AtRegMap 7296 104.3547337003263 -40.591002938991615
AtRegMap 8365 128.2425612094161 -64.13769084319442
AtRegMap 8374 31.806536802590678 32.877770082415964
AtRegMap 8376 23.112248703230684 41.9264789651021
AtRegMap 8378 122.19276730201527 -64.93703546234107
AtRegMap 8412 120.27300057010882 -61.226239208743166
AtRegMap 8387 4.153577273685658 27.693840968643944
AtRegMap 8389 143.44882173522672 -65.114662414038
AtRegMap 6243 97.79109100332536 -35.17930850716823
AtRegMap 7507 -50.91604547278915 -46.53483763667867
AtRegMap 7343 69.17865339350325 6.026850641673628
AtRegMap 6005 130.20342742233677 -62.2817122850683
AtRegMap 5380 -141.85939436258647 -66.53557274100143
AtRegMap 5381 -141.6276465724692 -66.27141780009477
AtRegMap 5565 -98.19751909137196 -45.73625494414356
AtRegMap 7011 62.985160836496185 1.228200589291603
AtRegMap 7199 14.857371680899325 64.55081915921578
AtRegMap 7224 69.9280750400259 23.355388081742994
AtRegMap 7277 32.55528244634231 57.70182353797975
AtRegMap 7490 -93.02771883181462 -42.46300851013297
