"Line","population","ala","arg","asp","gln","glu","gly","his","ile","leu","lys","met","phe","pro","ser","thr","trp","tyr","val","total","ShikFam","AspFam","AspFam_Asp","SerFam","GluFam","GluFam_glu","BCAA","PyrFam","ala_t","arg_t","asp_t","gln_t","glu_t","gly_t","his_t","ile_t","leu_t","lys_t","met_t","phe_t","pro_t","ser_t","trp_t","tyr_t","val_t","ile_BCAA","leu_BCAA","val_BCAA","arg_GluFam","gln_GluFam","glu_GluFam","his_GluFam","pro_GluFam","phe_ShikFam","trp_ShikFam","tyr_ShikFam","gly_SerFam","ser_SerFam","ala_PyrFam","leu_PyrFam","val_PyrFam","asp_AspFam","ile_AspFam","lys_AspFam","met_AspFam","thr_AspFam"
7353,1,0.699453552,0.612021858,2.480874317,0.218579235,5.344262295,0.524590164,0.120218579,0.087431694,0.163934426,0.240437158,0.076502732,0.426229508,0.327868852,0.62295082,0.349726776,3.06010929,0.120218579,0.360655738,15.83606557,3.606557377,3.234972677,1.30396475743757,1.147540984,6.622950819,1.23926380357422,0.612021858,1.224043716,0.0441683920105163,0.0386473430092017,0.156659765396513,0.0138026225032863,0.337474120157991,0.0331262940078872,0.00759144236102074,0.00552104900131454,0.010351966861678,0.0151828847220415,0.00483091786036347,0.0269151138656216,0.020703933723356,0.0393374741501528,0.193236715046009,0.00759144236102074,0.0227743271462092,0.142857142857143,0.267857142448661,0.589285714694196,0.0924092409450217,0.0330033003375078,0.806930693138822,0.0181518151478817,0.0495049504307666,0.118181818128884,0.848484848602479,0.0333333332686364,0.457142857043265,0.542857142956735,0.571428571428572,0.13392857122433,0.294642857347098,0.766891892051674,0.0270270270353817,0.0743243241927388,0.0236486485786786,0.108108108141527
7355,1,0.863221884,0.498480243,3.3556231,0.510638298,4.960486322,0.838905774,0.145896657,0.303951368,0.41337386,0.401215805,0.085106383,0.340425532,1.544072948,0.838905775,0.376899696,1.653495441,0.133738602,0.656534954,17.92097264,2.127659575,4.522796352,1.34782608690469,1.677811549,7.659574468,1.54411764710033,1.373860182,1.933130698,0.0481682496447358,0.0278154681117799,0.187245590259436,0.0284938941796186,0.276797829093723,0.0468113975090584,0.00814111264666269,0.0169606513053635,0.0230664857485101,0.0223880596806714,0.00474898236326976,0.0189959294530791,0.0861601085508939,0.046811397564859,0.0922659430498411,0.007462686578824,0.0366350067704807,0.221238938272104,0.300884955700681,0.477876106027214,0.0650793650590564,0.0666666666840741,0.64761904760164,0.019047619108545,0.201587301546684,0.16,0.777142857075714,0.0628571429242857,0.499999999701993,0.500000000298007,0.446540880496638,0.213836478013449,0.339622641489913,0.741935483899497,0.0672043011323274,0.0887096773266346,0.0188172043082076,0.0833333333333333
7372,1,0.417997097,0.394775036,2.275761974,0.174165457,4.203193033,0.417997098,0.092888244,0.092888244,0.150943396,0.174165457,0.104499274,0.24383164,0.24383164,0.452830189,0.278664731,3.355587808,0.092888244,0.267053701,13.43396226,3.692307692,2.92597968,1.28571428533765,0.870827287,5.10885341,1.21546961319395,0.510885341,0.835994194,0.0311149524548389,0.0293863439809902,0.169403630139422,0.0129645635166464,0.312878133171114,0.0311149525292771,0.00691443389539491,0.00691443389539491,0.0112359550427976,0.0129645635166464,0.00777873809510017,0.0181503889381925,0.0181503889381925,0.0337078652028311,0.249783923987293,0.00691443389539491,0.0198789974120413,0.18181818217407,0.295454545054171,0.522727272771759,0.0772727272282412,0.0340909090597689,0.822727272771759,0.018181818217407,0.0477272727228241,0.0660377358388365,0.908805031409067,0.0251572327520964,0.4800000002756,0.5199999997244,0.5,0.180555555389419,0.319444444610581,0.777777778005622,0.03174603181113,0.0595238094749858,0.0357142856166383,0.0952380950916242
7373,1,0.527777778,0.513888889,3.583333333,0.166666667,4.75,0.500000001,0.111111111,0.152777778,0.152777778,0.222222222,0.111111111,0.305555556,0.208333333,0.666666667,0.319444444,1.805555556,0.069444444,0.291666667,14.45833334,2.180555556,4.388888888,1.22480620141626,1.166666668,5.75,1.21052631578947,0.597222223,0.972222223,0.0365033621503155,0.0355427473496056,0.247838616577366,0.0115273775393534,0.328530259214511,0.0345821326180601,0.00768491833651416,0.0105667627386436,0.0105667627386436,0.0153698366730283,0.00768491833651416,0.0211335254772871,0.0144092218723185,0.0461095100882492,0.124879923123975,0.00480307393438475,0.0201729106765773,0.255813953527312,0.255813953527312,0.488372092945376,0.0893719806956522,0.0289855073043478,0.826086956521739,0.0193236714782609,0.036231884,0.140127388710292,0.828025477742058,0.031847133547649,0.428571428938775,0.571428571061224,0.542857142651429,0.157142857245714,0.300000000102857,0.81645569629194,0.0348101266399615,0.0506329113520269,0.0253164556760135,0.0727848100400577
7378,1,0.598473282,0.329770992,1.819847328,0.158778626,3.114503817,0.476335878,0.134351145,0.183206107,0.158778626,0.183206107,0.085496183,0.244274809,0.207633588,0.512977099,0.341984733,2.760305344,0.085496183,0.329770992,11.72519084,3.090076336,2.613740458,1.43624161092265,0.989312977,3.945038168,1.26666666660245,0.671755725,1.0870229,0.051041666627577,0.0281249999680176,0.155208333308458,0.0135416666702203,0.265625000010661,0.0406250000106608,0.0114583333297797,0.0156250000106608,0.0135416666702203,0.0156250000106608,0.00729166664889865,0.0208333333191189,0.0177083333511013,0.0437499999786784,0.235416666702203,0.00729166664889865,0.0281249999680176,0.272727272997934,0.236363636498967,0.490909090503099,0.0835913311751766,0.0402476780295627,0.78947368425055,0.0340557275439775,0.0526315790007333,0.0790513833442075,0.893280632533862,0.0276679841219301,0.481481481668667,0.518518518331333,0.550561797732136,0.146067415875047,0.303370786392817,0.6962616821536,0.0700934579939842,0.0700934579939842,0.0327102802951677,0.130841121563264
7379,1,0.595419847,0.564885496,1.297709924,0.091603053,5.160305344,0.458015268,0.106870229,0.213740458,0.213740458,0.198473282,0.106870229,0.41221374,0.320610687,0.458015267,0.183206107,1.053435115,0.106870229,0.41221374,11.95419847,1.572519084,2,1.54117647018934,0.916030535,6.244274809,1.21005917145201,0.839694656,1.221374045,0.0498084291049921,0.0472541507000762,0.108556832752669,0.00766283521474778,0.431673052522107,0.0383141763246967,0.00893997445903205,0.0178799489180641,0.0178799489180641,0.0166028096737798,0.00893997445903205,0.0344827585918439,0.0268199233770961,0.0383141762410441,0.0881226054296888,0.00893997445903205,0.0344827585918439,0.254545454675372,0.254545454675372,0.490909090649256,0.0904645476502442,0.0146699265810612,0.826405868070116,0.0171149144246448,0.0513447432739343,0.262135922033745,0.669902912923885,0.0679611650423697,0.500000000545833,0.499999999454167,0.487500000051172,0.175000000102344,0.337499999846484,0.648854962,0.106870229,0.099236641,0.0534351145,0.0916030535
7382,1,0.573170732,0.56097561,2.012195122,0.134146341,5.146341463,0.329268294,0.12195122,0.12195122,0.12195122,0.195121951,0.085365854,0.43902439,0.280487805,0.62195122,0.243902439,0.975609756,0.12195122,0.292682927,12.37804878,1.536585366,2.658536586,1.32121212149524,0.951219514,6.243902439,1.21327014227311,0.536585367,0.987804879,0.046305418744682,0.0453201970658254,0.162561576365027,0.010837438386634,0.415763546780917,0.0266009853291271,0.0098522167885656,0.0098522167885656,0.0098522167885656,0.0157635467809168,0.00689655175199592,0.0354679802772598,0.0226600985329127,0.0502463054601082,0.0788177339853721,0.0098522167885656,0.0236453202117693,0.227272727696281,0.227272727696281,0.545454544607438,0.0898437500394135,0.0214843749258652,0.824218749936813,0.0195312500782013,0.0449218750197067,0.285714285528345,0.634920634796674,0.0793650796749811,0.346153846881657,0.653846153118343,0.580246913317787,0.1234567904984,0.296296296183813,0.756880733782762,0.0458715598055719,0.0733944953127683,0.0321100918639003,0.0917431192349971
7384,1,0.580152672,0.223918575,2.208651399,0.132315522,3.613231552,0.30534351,0.071246819,0.091603053,0.10178117,0.152671756,0.061068702,0.27480916,0.325699746,0.580152672,0.10178117,0.72264631,0.081424936,0.264631043,9.893129767,1.078880406,2.61577608,1.1843317968532,0.885496182,4.366412214,1.20845070435165,0.458015266,0.946564885,0.0586419753569983,0.0226337448586709,0.223251028847037,0.0133744856396565,0.365226337579486,0.0308641973967145,0.00720164605923338,0.00925925921901435,0.0102880657989048,0.0154320987994375,0.0061728394793429,0.0277777777581233,0.0329218107586559,0.0586419753569983,0.073045267475465,0.00823045263912386,0.0267489711782328,0.199999999563333,0.222222221737037,0.57777777869963,0.0512820512644343,0.0303030303863107,0.827505827419344,0.0163170162385406,0.0745920746913704,0.254716981114587,0.66981132105202,0.0754716978333927,0.344827585038644,0.655172414961355,0.612903226385796,0.107526881266042,0.279569892348162,0.844357976925915,0.0350194551056526,0.0583657588917168,0.0233463034037684,0.0389105056729474
7390,1,0.499133449,0.388214905,2.24610052,0.13864818,4.575389948,0.374350086,0.097053726,0.110918544,0.097053726,0.20797227,0.041594454,0.27729636,0.263431542,0.415944541,0.152512998,0.887348354,0.06932409,0.318890815,11.16117851,1.233968804,2.759098786,1.22839506132165,0.790294627,5.462738301,1.19393939381885,0.526863085,0.91507799,0.0447204969038704,0.0347826087229206,0.201242236022619,0.0124223602261873,0.40993788818095,0.0335403726107056,0.00869565215833108,0.00993788818094981,0.00869565215833108,0.0186335403392809,0.00372670806785618,0.0248447204523745,0.0236024844297558,0.0372670807681581,0.079503105626791,0.00621118011309363,0.028571428609827,0.210526315389889,0.184210525966153,0.605263158643958,0.0710659899136911,0.0253807106180831,0.83756345186121,0.0177664974326582,0.0482233501743579,0.224719100759374,0.719101124050783,0.0561797751898435,0.473684209926939,0.526315790073061,0.5454545453552,0.106060605828799,0.348484848816001,0.814070352028345,0.0402010049668443,0.075376884312833,0.0150753768625666,0.0552763818294109
7392,1,0.522613065,0.495812395,1.822445561,0.08040201,3.685092127,0.120603015,0.08040201,0.08040201,0.08040201,0.18760469,0.067001675,0.361809045,0.29480737,0.469011725,0.16080402,1.005025126,0.05360134,0.21440536,9.782244554,1.420435511,2.318257956,1.27205882338013,0.58961474,4.636515912,1.2581818180417,0.37520938,0.817420435,0.053424657512401,0.050684931486124,0.18630136988906,0.00821917807883093,0.376712328817536,0.0123287671182464,0.00821917807883093,0.00821917807883093,0.00821917807883093,0.0191780821839388,0.00684931506569244,0.0369863013547392,0.0301369862890467,0.0479452054598471,0.102739726087613,0.00547945205255395,0.0219178082102158,0.214285714285714,0.214285714285714,0.571428571428571,0.106936416138843,0.0173410404549475,0.794797687949787,0.0173410404549475,0.0635838150014743,0.254716980952752,0.70754717001721,0.0377358490300374,0.204545454545455,0.795454545454545,0.639344262295082,0.0983606557377049,0.262295081967213,0.786127167722314,0.0346820809098951,0.0809248554564219,0.0289017340915792,0.0693641618197902
7394,1,1.063973064,1.494949495,2.006734007,0.430976431,7.622895623,0.727272726,0.255892256,0.35016835,0.390572391,0.457912458,0.121212121,0.61952862,0.511784512,0.821548822,0.417508418,2.28956229,0.188552189,0.7003367,20.47138047,3.097643099,3.353535354,1.67114093960735,1.548821548,10.316498317,1.35335689050665,1.441077441,2.154882155,0.0519736842153469,0.0730263157968653,0.0980263158090774,0.0210526315815184,0.372368421082841,0.0355263157296983,0.0125000000061061,0.0171052631508245,0.0190789473905958,0.0223684210584163,0.00592105262161639,0.0302631579198039,0.0250000000122122,0.0401315789721141,0.111842105292081,0.00921052633828558,0.0342105263016491,0.242990654101843,0.271028037694471,0.485981308203686,0.144908616185838,0.0417754569193131,0.73890339423006,0.0248041775549296,0.0496083551098591,0.200000000064565,0.739130434600142,0.060869565335293,0.469565216818639,0.530434783181361,0.493749999985498,0.181250000188525,0.324999999825977,0.598393574293596,0.104417670618063,0.136546184746141,0.036144578244992,0.124497992097208
